0.9947908 0.0052092 0 0 0 0 0 0 0 0 0
0.3705454 0.6280893 0.0013653 0 0 0 0 0 0 0 0
0.0001982 0.6894638 0.3099746 0.0003634 0 0 0 0 0 0 0
0 0.0319546 0.8073471 0.1605441 0.0001542 0 0 0 0 0 0
0 0 0.1277728 0.7700672 0.1020438 0.0001163 0 0 0 0 0
0 0 0.0002439 0.2230773 0.6923202 0.0839792 0.0003794 0 0 0 0
0 0 0 0.0016013 0.2701661 0.6379103 0.0897718 0.0005504 0 0 0
0 0 0 0 0.0031874 0.2581119 0.613245 0.1237818 0.001674 0 0
0 0 0 0 0 0.0030012 0.1979343 0.5832471 0.1947469 0.0210705 0
0 0 0 0 0 0 0.0016258 0.1126917 0.4871174 0.3985651 0
0 0 0 0 0 0 0 0.001252 0.1540508 0.8446972 0
0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
