pt_graph landings
3805 0
3879 0
4149 0
4270 0
4325 0
4377 0
4420 0
4421 0
4462 0
4463 0
4506 0
4549 0
4550 0
4592 0
4593 0
4635 0
4636 0
4678 0
4679 0
4717 0
4718 0
4719 0
4752 0
4758 0
4759 0
4797 0
4798 0
4838 0
4873 0
4877 0
4878 0
4918 0
4923 0
4924 0
4974 0
4976 0
4977 0
5030 0
5033 0
5088 0
5091 0
5092 0
5149 0
5150 0
5197 0
5199 0
5652 0
5757 0
5973 0
6028 0
6084 0
6085 0
6142 0
6143 0
6144 0
6201 0
6202 0
6203 0
6260 0
6261 0
6262 0
6263 0
6320 0
6321 0
6322 0
6323 0
6324 0
6381 0
6382 0
6383 0
6384 0
6443 0
6444 0
6505 0
6506 0
6567 0
6568 0
6628 0
6688 0
6748 0
7418 0
7482 0
7545 0
7546 0
7610 0
7611 0
7674 0
7675 0
7676 0
7738 0
7739 0
7740 0
7793 0
7797 0
7798 0
7801 0
7802 0
7803 0
7804 0
7805 0
7858 0
7859 0
7861 0
7862 0
7863 0
7864 0
7865 0
7866 0
7867 0
7868 0
7869 0
7923 0
7924 0
7925 0
7926 0
7927 0
7928 0
7929 0
7930 0
7932 0
7933 0
7988 0
7989 0
7990 0
7992 0
8052 0
8053 0
8054 0
8055 0
8056 0
8095 0
8096 0
8097 0
8115 0
8116 0
8117 0
8118 0
8120 0
8157 0
8158 0
8159 0
8161 0
8177 0
8178 0
8179 0
8219 0
8220 0
8221 0
8222 0
8223 0
8224 0
8225 0
8239 0
8240 0
8282 0
8283 0
8284 0
8299 0
8300 0
8342 0
8356 0
8357 0
8398 0
8412 0
8413 0
8451 0
8452 0
8466 0
8467 0
8504 0
8505 0
8518 0
8519 0
8520 0
8521 0
8557 0
8569 0
8570 0
8571 0
8572 0
8573 0
8607 0
8608 0
8619 0
8620 0
8621 0
8622 0
8623 0
8652 0
8653 0
8664 0
8665 0
8666 0
8667 0
8668 0
8669 0
8695 0
8696 0
8697 0
8707 0
8708 0
8709 0
8710 0
8711 0
8712 0
8739 0
8740 0
8741 0
8749 0
8750 0
8751 0
8752 0
8753 0
8754 0
8755 0
8756 0
8784 0
8785 0
8795 0
8796 0
8797 0
8798 0
8799 0
8800 0
8829 0
8830 0
8840 0
8841 0
8842 0
8843 0
8844 0
8874 0
8875 0
8886 0
8887 0
8888 0
8889 0
8918 0
8929 0
8930 0
8931 0
8957 0
8968 0
8969 0
8999 0
9000 0
9010 0
9011 0
9038 0
9039 0
9040 0
9041 0
9050 0
9078 0
9079 0
9080 0
9081 0
9091 0
9119 0
9120 0
9121 0
9122 0
