1 0 0 0 0 0 0 0 0 0 0
0.7851079 0.2148921 0 0 0 0 0 0 0 0 0
0.0260412 0.9674931 0.0064657 0 0 0 0 0 0 0 0
0 0.5604862 0.4394305 8.33e-05 0 0 0 0 0 0 0
0 0.0118864 0.8994674 0.0886462 0 0 0 0 0 0 0
0 0 0.2133267 0.7705328 0.0161406 0 0 0 0 0 0
0 0 0.0005888 0.5102061 0.485476 0.0037291 0 0 0 0 0
0 0 0 0.015652 0.6758912 0.3067905 0.0016664 0 0 0 0
0 0 0 0 0.0532006 0.7038065 0.2411243 0.0018686 0 0 0
0 0 0 0 0 0.0757519 0.6621028 0.2578726 0.0042491 2.36e-05 0
0 0 0 0 0 2.01e-05 0.0575987 0.5563513 0.3422122 0.0438176 1e-07
0 0 0 0 0 0 0 0.0241614 0.4042926 0.571546 0
0 0 0 0 0 0 0 0 0.0310373 0.9689627 0
0 0 0 0 0 0 0 0 0 1 0
