0.50695 0 0 0 0 0 0 0 0 0 0
0.402175 0.023025 0 0 0 0 0 0 0 0 0
0.090875 0.36675 0 0 0 0 0 0 0 0 0
0 0.449925 0.02925 0 0 0 0 0 0 0 0
0 0.1588 0.354625 0.000375 0 0 0 0 0 0 0
0 0.0015 0.477725 0.065525 0 0 0 0 0 0 0
0 0 0.136775 0.439 0.005175 0 0 0 0 0 0
0 0 0.001625 0.436225 0.18915 0.000275 0 0 0 0 0
0 0 0 0.0588 0.563125 0.05645 0 0 0 0 0
0 0 0 0.000075 0.23635 0.48535 0.01785 0 0 0 0
0 0 0 0 0.0062 0.428625 0.3673 0.008025 0 0 0
0 0 0 0 0 0.02925 0.55535 0.3053 0.006225 0.000025 0
0 0 0 0 0 0.00005 0.05945 0.618875 0.31955 0.03005 0
0 0 0 0 0 0 0.00005 0.0678 0.674225 0.969925 1
