stock  init_pops_per_szgroup
0 49.66394
0 43.34489
0 35.94908
0 33.34451
0 28.28569
0 24.4625
0 20.42839
0 14.91068
0 9.677439
0 8.252834
0 6.687293
0 3.064647
0 0.0248157
0 0
1 14763.7
1 14704.24
1 16591.03
1 16694.25
1 11293.38
1 13081.7
1 9274.528
1 0.07826843
1 0
1 0
1 0
1 0
1 0
1 0
2 1380.248
2 1103.132
2 829.7624
2 400.3676
2 181.7523
2 86.75482
2 56.24578
2 28.83336
2 9.203828
2 1.088917
2 0.003939612
2 0
2 0
2 0
3 3486.467
3 3416.091
3 2302.719
3 1749.462
3 1600.147
3 2042.867
3 580.8066
3 0
3 0
3 0
3 0
3 0
3 0
3 0
4 2730.091
4 1415.285
4 819.1676
4 204.0872
4 5.328129
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
5 309.7463
5 235.9449
5 133.2559
5 102.9363
5 69.41411
5 26.44854
5 0.003844876
5 0
5 0
5 0
5 0
5 0
5 0
5 0
