vids pt_graph
GRK_AGIA1_0_1 4203
GRK_AGIA1_0_1 4200
GRK_AGIA1_0_1 4262
GRK_AGIA1_0_1 4547
GRK_AGIA1_0_1 4716
GRK_AGIA1_0_1 4921
GRK_AGIA1_0_1 4974
GRK_AGIA1_0_1 5144
GRK_AGIA1_0_1 5447
GRK_AGIA1_0_1 5497
GRK_AGIA1_0_1 5652
GRK_AGIA1_0_1 5653
GRK_AGIA1_0_1 5705
GRK_AGIA1_0_1 6323
GRK_AGIA1_0_1 6441
GRK_AGIA1_0_1 6505
GRK_AGIA1_0_1 6627
GRK_AGIA1_0_1 6749
GRK_AGIA1_0_1 6807
GRK_AGIA1_0_1 6979
GRK_AGIA1_0_1 7042
GRK_AGIA1_0_2 4203
GRK_AGIA1_0_2 4200
GRK_AGIA1_0_2 4262
GRK_AGIA1_0_2 4547
GRK_AGIA1_0_2 4716
GRK_AGIA1_0_2 4921
GRK_AGIA1_0_2 4974
GRK_AGIA1_0_2 5144
GRK_AGIA1_0_2 5447
GRK_AGIA1_0_2 5497
GRK_AGIA1_0_2 5652
GRK_AGIA1_0_2 5653
GRK_AGIA1_0_2 5705
GRK_AGIA1_0_2 6323
GRK_AGIA1_0_2 6441
GRK_AGIA1_0_2 6505
GRK_AGIA1_0_2 6627
GRK_AGIA1_0_2 6749
GRK_AGIA1_0_2 6807
GRK_AGIA1_0_2 6979
GRK_AGIA1_0_2 7042
GRK_AGIA1_0_3 4203
GRK_AGIA1_0_3 4200
GRK_AGIA1_0_3 4262
GRK_AGIA1_0_3 4547
GRK_AGIA1_0_3 4716
GRK_AGIA1_0_3 4921
GRK_AGIA1_0_3 4974
GRK_AGIA1_0_3 5144
GRK_AGIA1_0_3 5447
GRK_AGIA1_0_3 5497
GRK_AGIA1_0_3 5652
GRK_AGIA1_0_3 5653
GRK_AGIA1_0_3 5705
GRK_AGIA1_0_3 6323
GRK_AGIA1_0_3 6441
GRK_AGIA1_0_3 6505
GRK_AGIA1_0_3 6627
GRK_AGIA1_0_3 6749
GRK_AGIA1_0_3 6807
GRK_AGIA1_0_3 6979
GRK_AGIA1_0_3 7042
GRK_AGIA1_0_4 4203
GRK_AGIA1_0_4 4200
GRK_AGIA1_0_4 4262
GRK_AGIA1_0_4 4547
GRK_AGIA1_0_4 4716
GRK_AGIA1_0_4 4921
GRK_AGIA1_0_4 4974
GRK_AGIA1_0_4 5144
GRK_AGIA1_0_4 5447
GRK_AGIA1_0_4 5497
GRK_AGIA1_0_4 5652
GRK_AGIA1_0_4 5653
GRK_AGIA1_0_4 5705
GRK_AGIA1_0_4 6323
GRK_AGIA1_0_4 6441
GRK_AGIA1_0_4 6505
GRK_AGIA1_0_4 6627
GRK_AGIA1_0_4 6749
GRK_AGIA1_0_4 6807
GRK_AGIA1_0_4 6979
GRK_AGIA1_0_4 7042
GRK_AGIA39_1_1 4139
GRK_AGIA39_1_1 4203
GRK_AGIA39_1_1 4266
GRK_AGIA39_1_1 4264
GRK_AGIA39_1_1 4265
GRK_AGIA39_1_1 4323
GRK_AGIA39_1_1 4322
GRK_AGIA39_1_1 4375
GRK_AGIA39_1_1 4504
GRK_AGIA39_1_1 4547
GRK_AGIA39_1_1 4545
GRK_AGIA39_1_1 4546
GRK_AGIA39_1_1 4590
GRK_AGIA39_1_1 4589
GRK_AGIA39_1_1 4633
GRK_AGIA39_1_1 4632
GRK_AGIA39_1_1 4676
GRK_AGIA39_1_1 4716
GRK_AGIA39_1_1 4755
GRK_AGIA39_1_1 4795
GRK_AGIA39_1_1 4794
GRK_AGIA39_1_1 4836
GRK_AGIA39_1_1 4834
GRK_AGIA39_1_1 4835
GRK_AGIA39_1_1 4876
GRK_AGIA39_1_1 4875
GRK_AGIA39_1_1 4873
GRK_AGIA39_1_1 4874
GRK_AGIA39_1_1 4922
GRK_AGIA39_1_1 4921
GRK_AGIA39_1_1 4919
GRK_AGIA39_1_1 4974
GRK_AGIA39_1_1 4973
GRK_AGIA39_1_1 4972
GRK_AGIA39_1_1 4971
GRK_AGIA39_1_1 5030
GRK_AGIA39_1_1 5029
GRK_AGIA39_1_1 5028
GRK_AGIA39_1_1 5027
GRK_AGIA39_1_1 5086
GRK_AGIA39_1_1 5144
GRK_AGIA39_1_1 5145
GRK_AGIA39_1_1 5200
GRK_AGIA39_1_1 5196
GRK_AGIA39_1_1 5198
GRK_AGIA39_1_1 5248
GRK_AGIA39_1_1 5249
GRK_AGIA39_1_1 5297
GRK_AGIA39_1_1 5345
GRK_AGIA39_1_1 5346
GRK_AGIA39_1_1 5395
GRK_AGIA39_1_1 5396
GRK_AGIA39_1_1 5447
GRK_AGIA39_1_1 5545
GRK_AGIA39_1_1 5601
GRK_AGIA39_1_1 5705
GRK_AGIA39_1_1 5757
GRK_AGIA39_1_1 5864
GRK_AGIA39_1_1 5862
GRK_AGIA39_1_1 6143
GRK_AGIA39_1_1 6202
GRK_AGIA39_1_1 6200
GRK_AGIA39_1_1 6264
GRK_AGIA39_1_1 6262
GRK_AGIA39_1_1 6324
GRK_AGIA39_1_1 6322
GRK_AGIA39_1_1 6323
GRK_AGIA39_1_1 6382
GRK_AGIA39_1_1 6383
GRK_AGIA39_1_1 6444
GRK_AGIA39_1_1 6507
GRK_AGIA39_1_1 6500
GRK_AGIA39_1_1 6568
GRK_AGIA39_1_1 6569
GRK_AGIA39_1_1 6629
GRK_AGIA39_1_1 6624
GRK_AGIA39_1_1 6689
GRK_AGIA39_1_1 6688
GRK_AGIA39_1_1 6748
GRK_AGIA39_1_1 6749
GRK_AGIA39_1_1 6808
GRK_AGIA39_1_1 6924
GRK_AGIA39_1_1 6922
GRK_AGIA39_1_1 6923
GRK_AGIA39_1_1 6983
GRK_AGIA39_1_1 6982
GRK_AGIA39_1_1 7043
GRK_AGIA39_1_1 7042
GRK_AGIA39_1_2 4139
GRK_AGIA39_1_2 4203
GRK_AGIA39_1_2 4266
GRK_AGIA39_1_2 4264
GRK_AGIA39_1_2 4265
GRK_AGIA39_1_2 4323
GRK_AGIA39_1_2 4322
GRK_AGIA39_1_2 4375
GRK_AGIA39_1_2 4504
GRK_AGIA39_1_2 4547
GRK_AGIA39_1_2 4545
GRK_AGIA39_1_2 4546
GRK_AGIA39_1_2 4590
GRK_AGIA39_1_2 4589
GRK_AGIA39_1_2 4633
GRK_AGIA39_1_2 4632
