pt_graph met
1843 0
2346 0
2347 0
2602 0
2685 0
2687 0
2688 0
2772 0
2859 0
2883 0
2943 0
2944 0
2945 0
2968 0
3028 0
3029 0
3030 0
3053 0
3054 0
3114 0
3115 0
3131 0
3137 0
3277 0
3297 0
3358 0
3359 0
3360 0
3378 0
3379 0
3440 0
3441 0
3442 0
3458 0
3459 0
3460 0
3461 0
3538 0
3539 0
3540 0
3601 0
3602 0
3603 0
3617 0
3618 0
3677 0
3679 0
3680 0
3681 0
3684 0
3756 0
3904 0
3905 0
3906 0
3908 0
3918 0
3919 0
3974 0
3975 0
3976 0
3985 0
3987 0
4041 0
4044 0
4050 0
4053 0
4054 0
4106 0
4107 0
4108 0
4109 0
4110 0
4113 0
4116 0
4118 0
4119 0
4168 0
4170 0
4171 0
4173 0
4176 0
4177 0
4179 0
4180 0
4181 0
4182 0
4230 0
4231 0
4232 0
4233 0
4234 0
4235 0
4236 0
4237 0
4239 0
4240 0
4241 0
4242 0
4288 0
4290 0
4291 0
4292 0
4293 0
4294 0
4295 0
4296 0
4297 0
4298 0
4299 0
4300 0
4301 0
4349 0
4351 0
4352 0
4353 0
4523 0
