pt_graph met
1843 1
2014 1
2100 1
2346 1
2684 1
2770 1
2772 1
2883 1
2943 1
2944 1
2967 1
2968 1
3027 1
3028 1
3029 1
3052 1
3053 1
3278 1
3359 1
3458 1
3540 1
3601 1
3602 1
3617 1
3679 1
3756 1
3757 1
3758 1
3771 1
3833 1
3835 1
3847 1
3904 1
3905 1
3906 1
3918 1
3919 1
3974 1
3988 1
4041 1
4042 1
4044 1
4052 1
4053 1
4106 1
4107 1
4108 1
4109 1
4110 1
4119 1
4167 1
4170 1
4171 1
4173 1
4230 1
4231 1
4232 1
4233 1
4234 1
4236 1
4238 1
4241 1
4290 1
4291 1
4292 1
4294 1
4295 1
4296 1
4297 1
4298 1
4299 1
4300 1
4349 1
4351 1
4352 1
4353 1
