pt_graph met
9585 3
9598 3
9599 3
9600 3
9673 3
9674 3
9676 3
9677 3
9678 3
9731 3
9750 3
9751 3
9752 3
9753 3
9755 3
9758 3
9817 3
9831 3
9840 3
9841 3
9910 3
9912 3
9913 3
9914 3
9916 3
9918 3
9920 3
9923 3
9924 3
9972 3
9991 3
9992 3
9993 3
9994 3
10004 3
10006 3
10008 3
10075 3
10077 3
10084 3
10086 3
10088 3
10090 3
10091 3
10092 3
10154 3
10155 3
10156 3
10157 3
10158 3
10164 3
10167 3
10168 3
10170 3
10172 3
10173 3
10235 3
10238 3
10239 3
10246 3
10252 3
10254 3
10256 3
10257 3
10258 3
10318 3
10319 3
10321 3
10322 3
10324 3
10331 3
10332 3
10337 3
10338 3
10339 3
10404 3
10406 3
10408 3
10409 3
10411 3
10418 3
10419 3
10421 3
10422 3
10425 3
10426 3
10506 3
10515 3
10516 3
10518 3
10521 3
10522 3
10601 3
10602 3
10610 3
10613 3
10614 3
10615 3
10616 3
10618 3
10621 3
10622 3
10623 3
10699 3
10700 3
10706 3
10711 3
10716 3
10720 3
10721 3
10801 3
10802 3
10805 3
10806 3
10812 3
10813 3
10817 3
10821 3
10823 3
10902 3
10903 3
10907 3
10912 3
10916 3
10919 3
10922 3
10924 3
10925 3
11007 3
11019 3
11020 3
11022 3
11023 3
11024 3
11025 3
11027 3
11030 3
11031 3
11032 3
11033 3
11117 3
11129 3
11131 3
11133 3
11134 3
11135 3
11136 3
11137 3
11139 3
11140 3
11141 3
11143 3
11144 3
11246 3
11249 3
11255 3
11258 3
11259 3
11260 3
11261 3
11262 3
11264 3
11362 3
11363 3
11364 3
11368 3
11374 3
11377 3
11378 3
11380 3
11382 3
11383 3
11384 3
11385 3
11495 3
11497 3
11498 3
11502 3
11508 3
11509 3
11510 3
11511 3
11512 3
11618 3
11625 3
11629 3
11630 3
11631 3
11632 3
11634 3
11635 3
11636 3
11638 3
11639 3
11640 3
11741 3
11747 3
11749 3
11751 3
11753 3
11754 3
11755 3
11758 3
11759 3
11760 3
11763 3
11764 3
11765 3
11766 3
11767 3
11768 3
11769 3
11877 3
11882 3
11883 3
11885 3
11886 3
11887 3
11888 3
11889 3
11890 3
11892 3
11893 3
11894 3
11896 3
11897 3
11898 3
11899 3
11900 3
11997 3
12003 3
12004 3
12006 3
12012 3
12013 3
12014 3
12015 3
12016 3
12017 3
12018 3
12020 3
12021 3
12022 3
12023 3
12024 3
12121 3
12124 3
12126 3
12128 3
12132 3
12133 3
12134 3
12142 3
12145 3
12246 3
12247 3
12250 3
12255 3
12257 3
12374 3
12375 3
12376 3
12377 3
12379 3
12380 3
12381 3
12384 3
12385 3
12387 3
12390 3
12514 3
12516 3
12517 3
12518 3
12634 3
12635 3
12642 3
12643 3
12644 3
12646 3
12647 3
12752 3
12753 3
12756 3
12761 3
12762 3
12763 3
12764 3
12871 3
12873 3
12874 3
12876 3
12878 3
12880 3
12882 3
12995 3
12996 3
12998 3
13000 3
13002 3
13113 3
13116 3
13212 3
13215 3
13218 3
13219 3
13310 3
13312 3
13314 3
13315 3
13316 3
13317 3
13394 3
13398 3
13481 3
13482 3
13545 3
13546 3
13551 3
13552 3
13603 3
13608 3
13611 3
13664 3
13665 3
13667 3
13668 3
13669 3
13670 3
13671 3
13714 3
13715 3
13717 3
13721 3
13723 3
13724 3
13725 3
13770 3
13772 3
13777 3
13778 3
13825 3
13830 3
13883 3
13887 3
13940 3
13941 3
13942 3
13943 3
13981 3
14001 3
14036 3
14039 3
14046 3
14047 3
14049 3
14057 3
14092 3
14096 3
14101 3
14102 3
14103 3
14106 3
14111 3
14112 3
14146 3
14149 3
14157 3
14158 3
14165 3
14166 3
14167 3
14194 3
14197 3
14206 3
14214 3
14215 3
14216 3
14243 3
14251 3
14261 3
14262 3
14288 3
14308 3
14309 3
14310 3
14352 3
14353 3
14395 3
14467 3
14468 3
14471 3
14504 3
14505 3
14535 3
14536 3
14565 3
14566 3
14567 3
14601 3
14602 3
14882 3
14987 3
15012 3
15013 3
15090 3
15130 3
15168 3
15174 3
15208 3
15215 3
15311 3
15312 3
15367 3
15419 3
15424 3
15491 3
15543 3
15546 3
15547 3
15548 3
15555 3
15676 3
15682 3
15683 3
15805 3
15810 3
15870 3
15882 3
15884 3
15947 3
16000 3
16005 3
16148 3
16151 3
16198 3
16199 3
16244 3
16246 3
16291 3
16338 3
16406 3
16411 3
16456 3
16465 3
16468 3
16491 3
16492 3
16499 3
16501 3
16513 3
16537 3
16542 3
16545 3
16546 3
16555 3
16581 3
16586 3
16590 3
16591 3
16592 3
16593 3
16597 3
16624 3
16625 3
16634 3
16635 3
16636 3
16637 3
16642 3
16676 3
16677 3
16678 3
16679 3
16683 3
16685 3
16686 3
16722 3
16723 3
16726 3
16728 3
16729 3
16730 3
16731 3
16766 3
16767 3
16770 3
16771 3
16772 3
16774 3
16775 3
16776 3
16807 3
16814 3
16815 3
16817 3
16818 3
16821 3
16822 3
16823 3
16824 3
16864 3
16865 3
16866 3
16868 3
16869 3
16870 3
16904 3
16911 3
16912 3
16913 3
16914 3
16917 3
16918 3
16919 3
16920 3
16954 3
16961 3
16962 3
16963 3
16997 3
16999 3
17000 3
17005 3
17006 3
17039 3
17040 3
17046 3
17047 3
17048 3
17079 3
17088 3
17089 3
17090 3
17119 3
17121 3
17129 3
17130 3
17131 3
17159 3
17160 3
17163 3
17171 3
17172 3
17173 3
17199 3
17200 3
17214 3
17215 3
17216 3
17242 3
17253 3
17254 3
17277 3
17279 3
17290 3
17291 3
17314 3
17494 3
17538 3
