pt_graph met
13317 4
13318 4
13319 4
13321 4
13322 4
13401 4
13402 4
13403 4
13404 4
13406 4
13462 4
13481 4
13483 4
13484 4
13485 4
13486 4
13553 4
13554 4
13555 4
13614 4
13615 4
13616 4
13617 4
13618 4
13663 4
13671 4
13672 4
13673 4
13675 4
13726 4
13727 4
13773 4
13780 4
13781 4
13782 4
13783 4
13834 4
13922 4
13943 4
13944 4
13949 4
13952 4
13979 4
13999 4
14000 4
14001 4
14004 4
14005 4
14034 4
14055 4
14062 4
14064 4
14111 4
14114 4
14143 4
14164 4
14168 4
14194 4
14212 4
14213 4
14217 4
14240 4
14255 4
14259 4
14260 4
14263 4
14264 4
14302 4
14303 4
14307 4
14310 4
14311 4
14345 4
14351 4
14352 4
14354 4
14355 4
14395 4
14396 4
14397 4
14428 4
14429 4
14431 4
14435 4
14437 4
14438 4
14464 4
14466 4
14467 4
14468 4
14471 4
14472 4
14473 4
14474 4
14501 4
14507 4
14536 4
14564 4
14565 4
14598 4
14603 4
14604 4
14606 4
14607 4
14608 4
14632 4
14633 4
14639 4
14664 4
14665 4
14666 4
14667 4
14669 4
14671 4
14672 4
14698 4
14699 4
14700 4
14701 4
14702 4
14704 4
14705 4
14706 4
14732 4
14733 4
14734 4
14736 4
14737 4
14738 4
14762 4
14763 4
14764 4
14765 4
14766 4
14767 4
14768 4
14769 4
14794 4
14795 4
14796 4
14798 4
14799 4
14800 4
14801 4
14826 4
14827 4
14829 4
14830 4
14831 4
14860 4
14890 4
14918 4
16182 4
16228 4
16229 4
16230 4
16322 4
16410 4
16450 4
16451 4
16454 4
16497 4
16585 4
16631 4
16637 4
16638 4
16676 4
16682 4
16876 4
