vids freq
GRK_AGIA1_0_4 0.012015
GRK_AGIA1_0_4 0.024520
GRK_AGIA1_0_4 0.007477
GRK_AGIA1_0_4 0.025816
GRK_AGIA1_0_4 0.016349
GRK_AGIA1_0_4 0.013752
GRK_AGIA1_0_4 0.011028
GRK_AGIA1_0_4 0.011156
GRK_AGIA1_0_4 0.010596
GRK_AGIA1_0_4 0.019382
GRK_AGIA1_0_4 0.022409
GRK_AGIA1_0_4 0.025591
GRK_AGIA1_0_4 0.026901
GRK_AGIA1_0_4 0.009990
GRK_AGIA1_0_4 0.024546
GRK_AGIA1_0_4 0.026293
GRK_AGIA39_1_1 0.014247
GRK_AGIA39_1_1 0.043761
GRK_AGIA39_1_1 0.044397
GRK_AGIA39_1_1 0.038501
GRK_AGIA39_1_1 0.034345
GRK_AGIA39_1_1 0.034917
GRK_AGIA39_1_1 0.034917
GRK_AGIA39_1_1 0.028808
GRK_AGIA39_1_1 0.041075
GRK_AGIA39_1_1 0.046716
GRK_AGIA39_1_1 0.046709
GRK_AGIA39_1_1 0.015839
GRK_AGIA39_1_1 0.047017
GRK_AGIA39_1_1 0.040254
GRK_AGIA39_1_1 0.047967
GRK_AGIA39_1_1 0.047533
GRK_AGIA39_1_1 0.044514
GRK_AGIA39_1_1 0.014271
GRK_AGIA39_1_1 0.036253
GRK_AGIA39_1_1 0.014099
GRK_AGIA39_1_1 0.030436
GRK_AGIA39_1_1 0.030431
GRK_AGIA39_1_1 0.025204
GRK_AGIA39_1_1 0.030882
GRK_AGIA39_1_1 0.014701
GRK_AGIA39_1_1 0.014392
GRK_AGIA39_1_1 0.029660
GRK_AGIA39_1_1 0.014759
GRK_AGIA39_1_1 0.015099
GRK_AGIA39_1_1 0.036471
GRK_AGIA39_1_1 0.041826
GRK_AGIA39_1_2 0.014247
GRK_AGIA39_1_2 0.043761
GRK_AGIA39_1_2 0.044397
GRK_AGIA39_1_2 0.038501
GRK_AGIA39_1_2 0.034345
GRK_AGIA39_1_2 0.034917
GRK_AGIA39_1_2 0.034917
GRK_AGIA39_1_2 0.028808
GRK_AGIA39_1_2 0.041075
GRK_AGIA39_1_2 0.046716
GRK_AGIA39_1_2 0.046709
GRK_AGIA39_1_2 0.015839
GRK_AGIA39_1_2 0.047017
GRK_AGIA39_1_2 0.040254
GRK_AGIA39_1_2 0.047967
GRK_AGIA39_1_2 0.047533
GRK_AGIA39_1_2 0.044514
GRK_AGIA39_1_2 0.014271
GRK_AGIA39_1_2 0.036253
GRK_AGIA39_1_2 0.014099
GRK_AGIA39_1_2 0.030436
GRK_AGIA39_1_2 0.030431
GRK_AGIA39_1_2 0.025204
GRK_AGIA39_1_2 0.030882
GRK_AGIA39_1_2 0.014701
GRK_AGIA39_1_2 0.014392
GRK_AGIA39_1_2 0.029660
GRK_AGIA39_1_2 0.014759
GRK_AGIA39_1_2 0.015099
GRK_AGIA39_1_2 0.036471
GRK_AGIA39_1_2 0.041826
GRK_AGIA39_1_3 0.014247
GRK_AGIA39_1_3 0.043761
GRK_AGIA39_1_3 0.044397
