vids freq
GRK_IQAK94_2_1 1
GRK_IQAK94_2_2 1
GRK_IQAK94_2_3 1
GRK_ITEA130_3_1 1
GRK_ITEA148_4_1 1
GRK_ITEA15_0_1 1
GRK_ITEA15_0_2 1
GRK_ITEA53_1_1 1
GRK_ITEA53_1_2 1
GRK_ITEA53_1_3 1
GRK_ITEA53_1_4 1
GRK_ITEA53_1_5 1
GRK_ITEA53_1_6 1
GRK_ITEA53_1_7 1
GRK_ITEA95_2_1 1
GRK_ITEA95_2_2 1
GRK_ITEA95_2_3 1
GRK_KALA131_3_1 1
GRK_KALA16_0_1 1
GRK_KALA54_1_1 1
GRK_KALA54_1_2 1
GRK_KALA54_1_3 1
GRK_KALA54_1_4 1
GRK_KALA54_1_5 1
GRK_KALA54_1_6 1
GRK_KALA54_1_7 1
GRK_KALA54_1_8 1
GRK_KALA54_1_9 1
GRK_KALA54_1_10 1
GRK_KALA54_1_11 1
GRK_KALA54_1_12 1
GRK_KALA54_1_13 1
GRK_KALA54_1_14 1
GRK_KALA54_1_15 1
GRK_KALA54_1_16 1
GRK_KALA54_1_17 1
GRK_KALA96_2_1 1
GRK_KALA96_2_2 1
GRK_KALA96_2_3 1
GRK_KALA96_2_4 1
GRK_KALA96_2_5 1
GRK_KALA96_2_6 1
GRK_KALA96_2_7 1
GRK_KALA96_2_8 1
GRK_KALA96_2_9 1
GRK_KALA96_2_10 1
GRK_KAPS55_1_1 1
GRK_KAPS55_1_2 1
GRK_KAPS97_2_1 1
GRK_KAPS97_2_2 1
GRK_KAPS97_2_3 1
GRK_KAPS97_2_4 1
GRK_KAPS97_2_5 1
GRK_KATA132_3_1 1
GRK_KATA17_0_1 1
GRK_KATA56_1_1 1
GRK_KATA56_1_2 1
GRK_KATA56_1_3 1
GRK_KATA56_1_4 1
GRK_KATA56_1_5 1
GRK_KATA56_1_6 1
GRK_KATA56_1_7 1
GRK_KATA56_1_8 1
GRK_KATA56_1_9 1
GRK_KATA56_1_10 1
GRK_KATA56_1_11 1
GRK_KATA56_1_12 1
GRK_KATA56_1_13 1
GRK_KATA98_2_1 1
GRK_KATA98_2_2 1
GRK_KERK133_3_1 1
GRK_KERK133_3_2 1
GRK_KERK133_3_3 1
GRK_KERK149_4_1 1
GRK_KERK149_4_2 1
GRK_KERK149_4_3 1
GRK_KERK149_4_4 1
GRK_KERK18_0_1 1
GRK_KERK18_0_2 1
GRK_KERK18_0_3 1
GRK_KERK18_0_4 1
GRK_KERK18_0_5 1
GRK_KERK18_0_6 1
GRK_KERK57_1_1 1
GRK_KERK57_1_2 1
GRK_KERK57_1_3 1
GRK_KERK57_1_4 1
GRK_KERK57_1_5 1
GRK_KERK57_1_6 1
GRK_KERK57_1_7 1
GRK_KERK57_1_8 1
GRK_KERK57_1_9 1
GRK_KERK57_1_10 1
GRK_KERK57_1_11 1
GRK_KERK57_1_12 1
GRK_KERK57_1_13 1
GRK_KERK57_1_14 1
GRK_KERK57_1_15 1
GRK_KERK57_1_16 1
GRK_KERK57_1_17 1
GRK_KERK57_1_18 1
GRK_KERK57_1_19 1
GRK_KERK57_1_20 1
GRK_KERK57_1_21 1
GRK_KERK57_1_22 1
GRK_KERK57_1_23 1
GRK_KERK57_1_24 1
GRK_KERK57_1_25 1
GRK_KERK57_1_26 1
GRK_KERK57_1_27 1
GRK_KERK57_1_28 1
GRK_KERK57_1_29 1
GRK_KERK57_1_30 1
GRK_KERK57_1_31 1
GRK_KERK57_1_32 1
GRK_KERK57_1_33 1
GRK_KERK57_1_34 1
GRK_KERK57_1_35 1
GRK_KERK57_1_36 1
GRK_KERK57_1_37 1
GRK_KERK57_1_38 1
GRK_KERK57_1_39 1
GRK_KERK57_1_40 1
GRK_KERK57_1_41 1
GRK_KERK57_1_42 1
GRK_KERK57_1_43 1
GRK_KERK57_1_44 1
GRK_KERK57_1_45 1
GRK_KERK57_1_46 1
GRK_KERK57_1_47 1
GRK_KERK57_1_48 1
GRK_KERK57_1_49 1
GRK_KERK57_1_50 1
GRK_KERK57_1_51 1
GRK_KERK57_1_52 1
GRK_KERK57_1_53 1
GRK_KERK57_1_54 1
