pt_graph met
1163 2
1291 2
1357 2
1421 2
1422 2
1423 2
1460 2
1488 2
1489 2
1490 2
1529 2
1556 2
1557 2
1671 2
1674 2
1701 2
1843 2
1867 2
1869 2
1956 2
2014 2
2040 2
2043 2
2100 2
2126 2
2127 2
2128 2
2129 2
2130 2
2210 2
2211 2
2265 2
2266 2
2346 2
2372 2
2454 2
2456 2
2542 2
2543 2
2630 2
2687 2
2713 2
2714 2
2772 2
2798 2
2799 2
2862 2
2883 2
2884 2
2943 2
2968 2
2969 2
3027 2
3028 2
3029 2
3030 2
3048 2
3052 2
3053 2
3054 2
3114 2
3115 2
3295 2
3359 2
3360 2
3362 2
3378 2
3379 2
3411 2
3442 2
3458 2
3459 2
3460 2
3461 2
3524 2
3525 2
3537 2
3538 2
3539 2
3601 2
3603 2
3617 2
3618 2
3676 2
3677 2
3679 2
3681 2
3727 2
3756 2
3757 2
3808 2
3811 2
3832 2
3833 2
3846 2
3878 2
3882 2
3904 2
3905 2
3906 2
3907 2
3918 2
3919 2
3949 2
3953 2
3975 2
3976 2
3987 2
3988 2
4017 2
4018 2
4040 2
4042 2
4043 2
4050 2
4053 2
4054 2
4084 2
4085 2
4106 2
4107 2
4108 2
4109 2
4110 2
4113 2
4115 2
4118 2
4119 2
4148 2
4170 2
4176 2
4178 2
4179 2
4181 2
4230 2
4231 2
4232 2
4233 2
4235 2
4236 2
4290 2
4291 2
4292 2
4293 2
4294 2
4295 2
4296 2
4297 2
4298 2
4299 2
4300 2
4301 2
4325 2
4326 2
4349 2
4351 2
4352 2
4353 2
4376 2
4420 2
4463 2
4480 2
4505 2
4566 2
4592 2
4593 2
4595 2
4607 2
4634 2
4649 2
4678 2
4717 2
4718 2
4768 2
4797 2
4836 2
4837 2
4838 2
4846 2
4875 2
4876 2
4877 2
4878 2
4879 2
4887 2
4921 2
4922 2
4923 2
4924 2
4930 2
4972 2
4973 2
4974 2
4975 2
4976 2
4977 2
4984 2
5029 2
5030 2
5031 2
5032 2
5033 2
5034 2
5038 2
5039 2
5040 2
5089 2
5090 2
5091 2
5092 2
5093 2
5094 2
5095 2
5096 2
5097 2
5147 2
5148 2
5149 2
5150 2
5151 2
5152 2
19516 2
