pt_graph met
14042 0
14048 0
14097 0
14098 0
14100 0
14152 0
14159 0
14161 0
14207 0
14212 0
14240 0
14252 0
14255 0
14256 0
14257 0
14259 0
14289 0
14291 0
14296 0
14303 0
14304 0
14306 0
14307 0
14337 0
14338 0
14349 0
14375 0
14385 0
14386 0
14387 0
14391 0
14392 0
14394 0
14422 0
14423 0
14425 0
14427 0
14429 0
14432 0
14433 0
14435 0
14462 0
14463 0
14464 0
14465 0
14470 0
14472 0
14500 0
14501 0
14502 0
14507 0
14509 0
14531 0
14534 0
14538 0
14540 0
14558 0
14560 0
14564 0
14568 0
14569 0
14570 0
14571 0
14572 0
14573 0
14596 0
14599 0
14604 0
14605 0
14606 0
14607 0
14633 0
14636 0
14640 0
14641 0
14663 0
14665 0
14666 0
14668 0
14670 0
14674 0
14695 0
14698 0
14700 0
14701 0
14707 0
14730 0
14731 0
14739 0
14761 0
14765 0
14793 0
14794 0
14795 0
14797 0
14798 0
14799 0
14802 0
14826 0
14827 0
14829 0
14830 0
14831 0
14857 0
14886 0
14887 0
14911 0
14915 0
14985 0
14986 0
14990 0
15010 0
15014 0
15040 0
15043 0
15060 0
15061 0
15065 0
15066 0
15068 0
15070 0
15093 0
15095 0
15098 0
15099 0
15100 0
15127 0
15128 0
15131 0
15132 0
15134 0
15135 0
15136 0
15137 0
15171 0
15177 0
15178 0
15214 0
15215 0
15216 0
15221 0
15222 0
15262 0
15263 0
15265 0
15266 0
15267 0
15268 0
15269 0
15270 0
15311 0
15312 0
15313 0
15314 0
15315 0
15316 0
15317 0
15318 0
15365 0
15366 0
15369 0
15370 0
15371 0
15372 0
15426 0
15428 0
15429 0
15430 0
15431 0
15488 0
15490 0
15492 0
15493 0
15494 0
15513 0
15551 0
15556 0
15557 0
15558 0
15616 0
15619 0
15620 0
15622 0
15681 0
15682 0
15683 0
15684 0
15685 0
15686 0
15750 0
15751 0
15752 0
15753 0
15754 0
15816 0
15818 0
15819 0
15820 0
15821 0
15822 0
15882 0
15885 0
15886 0
15887 0
15940 0
15943 0
15944 0
15945 0
15947 0
15948 0
15949 0
15950 0
15951 0
16000 0
16002 0
16003 0
16004 0
16005 0
16006 0
16007 0
16050 0
16052 0
16054 0
16055 0
16056 0
16057 0
16058 0
16059 0
16102 0
16104 0
16106 0
16107 0
16147 0
16148 0
16149 0
16150 0
16152 0
16153 0
16154 0
16155 0
16196 0
16197 0
16200 0
16201 0
16202 0
16243 0
16244 0
16245 0
16246 0
16247 0
16248 0
16291 0
16292 0
16294 0
16338 0
16339 0
16340 0
16341 0
16384 0
