pt_graph met
1843 0
2100 0
2515 0
2602 0
2688 0
2772 0
2796 0
2856 0
2859 0
2883 0
2943 0
2944 0
2946 0
3027 0
3028 0
3029 0
3052 0
3054 0
3112 0
3115 0
3199 0
3276 0
3278 0
3293 0
3297 0
3358 0
3360 0
3440 0
3461 0
3537 0
3538 0
3540 0
3601 0
3617 0
3618 0
3679 0
3680 0
3754 0
3756 0
3758 0
3759 0
3832 0
3847 0
3904 0
3905 0
3906 0
3918 0
3919 0
3974 0
3975 0
3987 0
3988 0
4041 0
4042 0
4106 0
4107 0
4108 0
4110 0
4115 0
4119 0
4170 0
4171 0
4173 0
4175 0
4177 0
4180 0
4181 0
4182 0
4230 0
4231 0
4232 0
4233 0
4236 0
4238 0
4241 0
4242 0
4290 0
4291 0
4292 0
4294 0
4295 0
4296 0
4298 0
4299 0
4300 0
4349 0
4351 0
4352 0
4353 0
4395 0
