pt_graph abundance
153 0
153 0
153 0.00003237
153 0.00003237
153 0.00003237
153 0.00003237
153 0
153 0.00003237
153 0.00003237
153 0.00003237
153 0.00003237
153 0.00003237
153 0.00003237
153 0.00003237
154 0
154 0
154 0.00003237
154 0.00003237
154 0.00003237
154 0.00003237
154 0
154 0.00003237
154 0.00003237
154 0.00003237
154 0.00003237
154 0.00003237
154 0.00003237
154 0.00003237
155 0.00000492
155 0.00000492
155 0.00000959
155 0.00000959
155 0.00000959
155 0.00000959
155 0.00000492
155 0.00000959
155 0.00000959
155 0.00000959
155 0.00000959
155 0.00000959
155 0.00000959
155 0.00000959
177 0
177 0
177 0.0004677
177 0.0004677
177 0.0004677
177 0.0004677
177 0
177 0.0004677
177 0.0004677
177 0.0004677
177 0.0004677
177 0.0004677
177 0.0004677
177 0.0004677
178 0
178 0
178 0.00000959
178 0.00000959
178 0.00000959
178 0.00000959
178 0
178 0.00000959
178 0.00000959
178 0.00000959
178 0.00000959
178 0.00000959
178 0.00000959
178 0.00000959
179 0
179 0
179 0.0004677
179 0.0004677
179 0.0004677
179 0.0004677
179 0
179 0.0004677
179 0.0004677
179 0.0004677
179 0.0004677
179 0.0004677
179 0.0004677
179 0.0004677
180 0.00000492
180 0.00000492
180 0.00000959
180 0.00000959
180 0.00000959
180 0.00000959
180 0.00000492
180 0.00000959
180 0.00000959
180 0.00000959
180 0.00000959
180 0.00000959
180 0.00000959
180 0.00000959
181 0.00000492
181 0.00000492
181 0.00003237
181 0.00003237
181 0.00003237
181 0.00003237
181 0.00000492
181 0.00003237
181 0.00003237
181 0.00003237
181 0.00003237
181 0.00003237
181 0.00003237
181 0.00003237
182 0.00000492
182 0.00000492
182 0.00003237
182 0.00003237
182 0.00003237
182 0.00003237
182 0.00000492
182 0.00003237
182 0.00003237
182 0.00003237
182 0.00003237
182 0.00003237
182 0.00003237
182 0.00003237
201 0
201 0
201 0.00010702
201 0.00010702
201 0.00010702
201 0.00010702
201 0
201 0.00010702
201 0.00010702
201 0.00010702
201 0.00010702
201 0.00010702
201 0.00010702
201 0.00010702
202 0
202 0
202 0.00000959
202 0.00000959
202 0.00000959
202 0.00000959
202 0
202 0.00000959
202 0.00000959
202 0.00000959
202 0.00000959
202 0.00000959
202 0.00000959
202 0.00000959
203 0
203 0
