pt_graph coeff
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
182 0.1
182 0.1
182 0.05
182 0.05
182 0.05
182 0.05
182 0.1
182 0.05
182 0.05
182 0.05
182 0.05
182 0.05
182 0.05
182 0.05
207 0.1
207 0.1
207 0.05
207 0.05
207 0.05
207 0.05
207 0.1
207 0.05
207 0.05
207 0.05
207 0.05
207 0.05
207 0.05
207 0.05
208 0.1
208 0.1
208 0.05
208 0.05
208 0.05
208 0.05
208 0.1
208 0.05
208 0.05
208 0.05
208 0.05
208 0.05
208 0.05
208 0.05
209 0.1
209 0.1
209 0.05
209 0.05
209 0.05
209 0.05
209 0.1
209 0.05
209 0.05
209 0.05
209 0.05
209 0.05
209 0.05
209 0.05
210 0.1
210 0.1
210 0.05
210 0.05
210 0.05
210 0.05
210 0.1
210 0.05
210 0.05
210 0.05
210 0.05
210 0.05
210 0.05
210 0.05
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
237 0.1
237 0.1
237 0.05
237 0.05
237 0.05
237 0.05
237 0.1
237 0.05
237 0.05
237 0.05
237 0.05
237 0.05
237 0.05
237 0.05
238 0.1
238 0.1
238 0.05
238 0.05
238 0.05
238 0.05
238 0.1
238 0.05
238 0.05
238 0.05
238 0.05
238 0.05
238 0.05
238 0.05
239 0.1
239 0.1
239 0.05
239 0.05
239 0.05
239 0.05
239 0.1
239 0.05
239 0.05
239 0.05
239 0.05
239 0.05
239 0.05
239 0.05
240 0.1
240 0.1
240 0.05
240 0.05
240 0.05
240 0.05
240 0.1
240 0.05
240 0.05
240 0.05
240 0.05
240 0.05
240 0.05
240 0.05
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
242 0.1
242 0.1
242 0.05
242 0.05
242 0.05
242 0.05
242 0.1
242 0.05
242 0.05
242 0.05
242 0.05
242 0.05
242 0.05
242 0.05
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
275 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
276 0.1
277 0.1
277 0.1
277 0.05
277 0.05
277 0.05
277 0.05
277 0.1
277 0.05
277 0.05
277 0.05
277 0.05
277 0.05
277 0.05
277 0.05
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
278 0.1
279 0.1
279 0.1
279 0.05
279 0.05
279 0.05
279 0.05
279 0.1
279 0.05
279 0.05
279 0.05
279 0.05
279 0.05
279 0.05
279 0.05
280 0.1
280 0.1
280 0.05
280 0.05
280 0.05
280 0.05
280 0.1
280 0.05
280 0.05
280 0.05
280 0.05
280 0.05
280 0.05
280 0.05
281 0.1
281 0.1
281 0.05
281 0.05
281 0.05
281 0.05
281 0.1
281 0.05
281 0.05
281 0.05
281 0.05
281 0.05
281 0.05
281 0.05
282 0.1
282 0.1
282 0.05
282 0.05
282 0.05
282 0.05
282 0.1
282 0.05
282 0.05
282 0.05
282 0.05
282 0.05
282 0.05
282 0.05
283 0.1
283 0.1
283 0.05
283 0.05
283 0.05
283 0.05
283 0.1
283 0.05
283 0.05
283 0.05
283 0.05
283 0.05
283 0.05
283 0.05
284 0.1
284 0.1
284 0.05
284 0.05
284 0.05
284 0.05
284 0.1
284 0.05
284 0.05
284 0.05
284 0.05
284 0.05
284 0.05
284 0.05
285 0.1
285 0.1
285 0.05
285 0.05
285 0.05
285 0.05
285 0.1
285 0.05
285 0.05
285 0.05
285 0.05
285 0.05
285 0.05
285 0.05
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
286 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
320 0.1
321 0.1
321 0.1
321 0.05
321 0.05
321 0.05
321 0.05
321 0.1
321 0.05
321 0.05
321 0.05
321 0.05
321 0.05
321 0.05
321 0.05
322 0.1
322 0.1
322 0.05
322 0.05
322 0.05
322 0.05
322 0.1
322 0.05
322 0.05
322 0.05
322 0.05
322 0.05
322 0.05
322 0.05
323 0.1
323 0.1
323 0.05
323 0.05
323 0.05
323 0.05
323 0.1
323 0.05
323 0.05
323 0.05
323 0.05
323 0.05
323 0.05
323 0.05
324 0.1
324 0.1
324 0.05
324 0.05
324 0.05
324 0.05
324 0.1
324 0.05
324 0.05
324 0.05
324 0.05
324 0.05
324 0.05
324 0.05
325 0.1
325 0.1
325 0.05
325 0.05
325 0.05
325 0.05
325 0.1
325 0.05
325 0.05
325 0.05
325 0.05
325 0.05
325 0.05
325 0.05
328 0.1
328 0.1
328 0.05
328 0.05
328 0.05
328 0.05
328 0.1
328 0.05
328 0.05
328 0.05
328 0.05
328 0.05
328 0.05
328 0.05
329 0.1
329 0.1
329 0.05
329 0.05
329 0.05
329 0.05
329 0.1
329 0.05
329 0.05
329 0.05
329 0.05
329 0.05
329 0.05
329 0.05
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
330 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
331 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
368 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
369 0.1
370 0.1
370 0.1
370 0.05
370 0.05
370 0.05
370 0.05
370 0.1
370 0.05
370 0.05
370 0.05
370 0.05
370 0.05
370 0.05
370 0.05
371 0.1
371 0.1
371 0.05
371 0.05
371 0.05
371 0.05
371 0.1
371 0.05
371 0.05
371 0.05
371 0.05
371 0.05
371 0.05
371 0.05
372 0.1
372 0.1
372 0.05
372 0.05
372 0.05
372 0.05
372 0.1
372 0.05
372 0.05
372 0.05
372 0.05
372 0.05
372 0.05
372 0.05
373 0.5
373 0.5
373 0.05
373 0.05
373 0.05
373 0.05
373 0.5
373 0.05
373 0.05
373 0.05
373 0.05
373 0.05
373 0.05
373 0.05
375 0.1
375 0.1
375 0.05
375 0.05
375 0.05
375 0.05
375 0.1
375 0.05
375 0.05
375 0.05
375 0.05
375 0.05
375 0.05
375 0.05
376 0.1
376 0.1
376 0.05
376 0.05
376 0.05
376 0.05
376 0.1
376 0.05
376 0.05
376 0.05
376 0.05
376 0.05
376 0.05
376 0.05
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
416 0.1
417 0.1
417 0.1
417 0.05
417 0.05
417 0.05
417 0.05
417 0.1
417 0.05
417 0.05
417 0.05
417 0.05
417 0.05
417 0.05
417 0.05
418 0.1
418 0.1
418 0.05
418 0.05
418 0.05
418 0.05
418 0.1
418 0.05
418 0.05
418 0.05
418 0.05
418 0.05
418 0.05
418 0.05
419 0.1
419 0.1
419 0.05
419 0.05
419 0.05
419 0.05
419 0.1
419 0.05
419 0.05
419 0.05
419 0.05
419 0.05
419 0.05
419 0.05
421 0.1
421 0.1
421 0.05
421 0.05
421 0.05
421 0.05
421 0.1
421 0.05
421 0.05
421 0.05
421 0.05
421 0.05
421 0.05
421 0.05
466 0.1
466 0.1
466 0.05
466 0.05
466 0.05
466 0.05
466 0.1
466 0.05
466 0.05
466 0.05
466 0.05
466 0.05
466 0.05
466 0.05
467 0.1
467 0.1
467 0.05
467 0.05
467 0.05
467 0.05
467 0.1
467 0.05
467 0.05
467 0.05
467 0.05
467 0.05
467 0.05
467 0.05
468 0.5
468 0.5
468 0.05
468 0.05
468 0.05
468 0.05
468 0.5
468 0.05
468 0.05
468 0.05
468 0.05
468 0.05
468 0.05
468 0.05
470 0.1
470 0.1
470 0.05
470 0.05
470 0.05
470 0.05
470 0.1
470 0.05
470 0.05
470 0.05
470 0.05
470 0.05
470 0.05
470 0.05
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
518 0.1
519 0.1
519 0.1
519 0.05
519 0.05
519 0.05
519 0.05
519 0.1
519 0.05
519 0.05
519 0.05
519 0.05
519 0.05
519 0.05
519 0.05
520 0.1
520 0.1
520 0.05
520 0.05
520 0.05
520 0.05
520 0.1
520 0.05
520 0.05
520 0.05
520 0.05
520 0.05
520 0.05
520 0.05
522 0.1
522 0.1
522 0.05
522 0.05
522 0.05
522 0.05
522 0.1
522 0.05
522 0.05
522 0.05
522 0.05
522 0.05
522 0.05
522 0.05
573 0.1
573 0.1
573 0.05
573 0.05
573 0.05
573 0.05
573 0.1
573 0.05
573 0.05
573 0.05
573 0.05
573 0.05
573 0.05
573 0.05
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
626 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
627 0.1
628 0.1
628 0.1
628 0.05
628 0.05
628 0.05
628 0.05
628 0.1
628 0.05
628 0.05
628 0.05
628 0.05
628 0.05
628 0.05
628 0.05
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
684 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
685 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
744 0.1
745 0.1
745 0.1
745 0.05
745 0.05
745 0.05
745 0.05
745 0.1
745 0.05
745 0.05
745 0.05
745 0.05
745 0.05
745 0.05
745 0.05
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
801 0.1
802 0.1
802 0.1
802 0.05
802 0.05
802 0.05
802 0.05
802 0.1
802 0.05
802 0.05
802 0.05
802 0.05
802 0.05
802 0.05
802 0.05
803 0.1
803 0.1
803 0.05
803 0.05
803 0.05
803 0.05
803 0.1
803 0.05
803 0.05
803 0.05
803 0.05
803 0.05
803 0.05
803 0.05
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
858 0.1
859 0.1
859 0.1
859 0.05
859 0.05
859 0.05
859 0.05
859 0.1
859 0.05
859 0.05
859 0.05
859 0.05
859 0.05
859 0.05
859 0.05
860 0.1
860 0.1
860 0.05
860 0.05
860 0.05
860 0.05
860 0.1
860 0.05
860 0.05
860 0.05
860 0.05
860 0.05
860 0.05
860 0.05
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
918 0.1
919 0.1
919 0.1
919 0.05
919 0.05
919 0.05
919 0.05
919 0.1
919 0.05
919 0.05
919 0.05
919 0.05
919 0.05
919 0.05
919 0.05
978 0.1
978 0.1
978 0.05
978 0.05
978 0.05
978 0.05
978 0.1
978 0.05
978 0.05
978 0.05
978 0.05
978 0.05
978 0.05
978 0.05
979 0.1
979 0.1
979 0.05
979 0.05
979 0.05
979 0.05
979 0.1
979 0.05
979 0.05
979 0.05
979 0.05
979 0.05
979 0.05
979 0.05
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
982 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1039 0.1
1040 0.1
1040 0.1
1040 0.05
1040 0.05
1040 0.05
