pt_graph abundance
129 0.00000673
129 0.00000673
129 0.0001154
129 0.0001154
129 0.0001154
129 0.0001154
129 0.00000673
129 0.00000673
129 0.0001154
129 0.0001154
129 0.0001154
129 0.0001154
129 0.0001154
129 0.0001154
130 0.00000673
130 0.00000673
130 0.0001154
130 0.0001154
130 0.0001154
130 0.0001154
130 0.00000673
130 0.00000673
130 0.0001154
130 0.0001154
130 0.0001154
130 0.0001154
130 0.0001154
130 0.0001154
151 0.00000673
151 0.00000673
151 0.0001154
151 0.0001154
151 0.0001154
151 0.0001154
151 0.00000673
151 0.00000673
151 0.0001154
151 0.0001154
151 0.0001154
151 0.0001154
151 0.0001154
151 0.0001154
152 0.00003434
152 0.00003434
152 0.0001154
152 0.0001154
152 0.0001154
152 0.0001154
152 0.00003434
152 0.00003434
152 0.0001154
152 0.0001154
152 0.0001154
152 0.0001154
152 0.0001154
152 0.0001154
153 0.00003434
153 0.00003434
153 0.00040687
153 0.00040687
153 0.00040687
153 0.00040687
153 0.00003434
153 0.00003434
153 0.00040687
153 0.00040687
153 0.00040687
153 0.00040687
153 0.00040687
153 0.00040687
154 0.00003434
154 0.00003434
154 0.00040687
154 0.00040687
154 0.00040687
154 0.00040687
154 0.00003434
154 0.00003434
154 0.00040687
154 0.00040687
154 0.00040687
154 0.00040687
154 0.00040687
154 0.00040687
155 0.00035738
155 0.00035738
155 0.00067843
155 0.00067843
155 0.00067843
155 0.00067843
155 0.00035738
155 0.00035738
155 0.00067843
155 0.00067843
155 0.00067843
155 0.00067843
155 0.00067843
155 0.00067843
173 0.00000673
173 0.00000673
173 0.0001154
173 0.0001154
173 0.0001154
173 0.0001154
173 0.00000673
173 0.00000673
173 0.0001154
173 0.0001154
173 0.0001154
173 0.0001154
173 0.0001154
173 0.0001154
175 0.00000673
175 0.00000673
175 0.00040687
175 0.00040687
175 0.00040687
175 0.00040687
175 0.00000673
175 0.00000673
175 0.00040687
175 0.00040687
175 0.00040687
175 0.00040687
175 0.00040687
175 0.00040687
176 0.00000673
176 0.00000673
176 0.00040687
176 0.00040687
176 0.00040687
176 0.00040687
176 0.00000673
176 0.00000673
176 0.00040687
176 0.00040687
176 0.00040687
176 0.00040687
